t1,t2,t3,,sum,avg
24.13,19.91,-4.22,,,
38.01,37.36,-0.65,,-85.26,-3.4104
52.9,45.78,-7.12,,,
58.42,62.03,3.61,,,
65.96,65.58,-0.38,,,
107.48,105.94,-1.54,,,
30.01,23.71,-6.3,,,
12.45,10.71,-1.74,,,
43.41,41.22,-2.19,,,
20.07,17.91,-2.16,,,
31.23,30.24,-0.99,,,
21.15,18.08,-3.07,,,
50.31,42.04,-8.27,,,
45.98,33.25,-12.73,,,
67.21,66.71,-0.5,,,
38.23,40.12,1.89,,,
71.12,62,-9.12,,,
40.27,41.56,1.29,,,
32.26,25.96,-6.3,,,
74.01,69.97,-4.04,,,
68.06,54.7,-13.36,,,
86.73,84.76,-1.97,,,
22.65,21.64,-1.01,,,
29.16,25.58,-3.58,,,
107.21,106.4,-0.81,,,
